Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
Capri Cosmetology Learning Centers,"251 West Route 59, Nanuet, New York 10954",caprinow.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,331,331,73%,NA,2019-20,"$16,060","Cosmetology/Cosmetologist, General",189714,02056400
Capri Institute of Hair Design-Brick,"268 Brick Blvd, Brick, New Jersey 08723",www.capriinstitute.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,,,NA,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",407391,
Capri Institute of Hair Design-Clifton,"1595 Main Ave, Clifton, New Jersey 07011",www.capriinstitute.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,,,NA,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",363077,
Capri Institute of Hair Design-Kenilworth,"660 N Michigan Ave, Kenilworth, New Jersey 07033",www.capriinstitute.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,,,NA,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",407407,
Capri Institute of Hair Design-Paramus,"615 Winters Ave, Paramus, New Jersey 07652",www.capriinstitute.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,,,NA,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",407425,
Capstone College,"1200 N. Fair Oaks Ave Suite 32, Pasadena, California 91103",www.capstonecollege.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,151,151,26%,NA,2019-20,"$19,312","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",377759,03019900
Cardiac and Vascular Institute of Ultrasound,"2936 North McVay Drive, Mobile, Alabama 36606",www.ultrasound.edu/,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Midsize,No,51,51,NA,NA,Fall 2019,NA,-,455707,04066300
Career Academy of Beauty,"12471 Valley View, Garden Grove, California 92845",caofb.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,205,205,74%,NA,2019-20,"$21,870","Cosmetology/Cosmetologist, General",111513,02125000
Career Academy of Hair Design,"346 E. Robinson Ave, Springdale, Arkansas 72764-7128",www.beautynwa.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,230,230,64%,NA,2019-20,"$12,553","Cosmetology/Cosmetologist, General",107220,02341700
Career Academy of Hair Design - Fort Smith,"1000 Phoenix Avenue, Fort Smith, Arkansas 72901-7814",www.beautynwa.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,,,NA,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",10722004,02341704
Career Academy of Hair Design-Fayetteville,"4310 W Martin Luther King Blvd, Fayetteville, Arkansas 72701-4217",www.beautynwa.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,,,NA,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",10722003,02341703
Career Academy of Hair Design-Rogers,"2100 W. Hudson Rd Ste 10, Rogers, Arkansas 72756-2102",www.beautynwa.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,,,NA,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",10722002,02341701
Career Academy of Hair Design-Siloam Springs,"821 S Mount Olive, Siloam Springs, Arkansas 72761-4217",www.beautynwa.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Distant,No,,,NA,NA,2019-20,NA,"Cosmetology/Cosmetologist, General",10722001,02341702
Career Beauty College,"113 South Military Avenue, Lawrenceburg, Tennessee 38464",www.cbclburg.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Distant,No,40,40,100%,NA,2019-20,"$10,599","Cosmetology/Cosmetologist, General",444468,03841300
Career Care Institute,"43770 15th Street West Ste 115, Lancaster, California 93534",www.ccicolleges.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,Suburb: Large,No,579,579,62%,NA,Fall 2019,"$40,798",Licensed Practical/Vocational Nurse Training,446118,03797400
Career College of Northern Nevada,"1421 Pullman Dr., Sparks, Nevada 89434-7905",www.ccnn.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,292,292,48%,2%,Fall 2019,"$27,122",Welding Technology/Welder,181941,02621500
Career Development Institute Inc,"1830 S Robertson Blvd, Los Angeles, California 90035",cdi.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,176,176,45%,NA,2019-20,"$21,943",Licensed Practical/Vocational Nurse Training,454801,04144200
Career Networks Institute,"1610 E. Saint Andrew Place Suite 200, Santa Ana, California 92705",www.cnicollege.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree,City: Large,No,714,714,77%,NA,Fall 2016,"$22,970",Registered Nursing/Registered Nurse,433013,03242300
Career Technical Institute,"1101 Vermont Avenue, N.W suite L002, Washington, District of Columbia 20005",www.careertechnical.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Large,No,438,438,57%,NA,Fall 2019,"$20,526",Medical/Clinical Assistant,420370,03104300
Careers Unlimited,"1176 South 1480 West, Orem, Utah 84058",www.ucdh.edu/,"4-year, Private for-profit",Bachelor's degree,City: Small,No,118,118,NA,NA,Fall 2016,NA,Dental Hygiene/Hygienist,448239,03463300
Caribbean Aviation Training Institute Inc,"Ave. Jose A. Santana, Ed. World Cargo, 2nd Floor Base Muniz, Carolina, Puerto Rico 00979",www.caribav.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,200,200,98%,NA,2019-20,"$8,546",-,489256,04266800
Caribbean Forensic and Technical College,"Ave. Ponce De Leon #1207, San Juan, Puerto Rico 00907",https://www.caribbeanforensic.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,267,267,76%,NA,2019-20,"$3,894",-,441706,03608300
Caris College,"2780 Jefferson Centre Way, Suite 103, Jeffersonville, Indiana 47130-8293",www.cariscollege.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,153,153,88%,NA,Fall 2019,"$19,706",Dental Assisting/Assistant,491941,04274300
Carlson College of Massage Therapy,"11809 Country Rd X28, Anamosa, Iowa 52205",www.carlsoncollege.com/,"< 2-year, Private for-profit",Less than one year certificate,Rural: Distant,No,32,32,100%,NA,2019-20,"$13,294",Massage Therapy/Therapeutic Massage,451194,03720300
Carnegie Institute,"550 Stephenson Hwy Suite 100, Troy, Michigan 48083",https://www.carnegie-institute.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,City: Small,No,104,104,70%,NA,Fall 2019,"$14,960",-,169187,00761700
Carolina College of Hair Design,"1302 Patton Ave Suite 20, Asheville, North Carolina 28806-2711",carolinacollege.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,42,42,84%,NA,2019-20,"$12,970","Cosmetology/Cosmetologist, General",460765,04178100
Carrington College-Albuquerque,"1001 Menaul Blvd. N.E., Albuquerque, New Mexico 87107-1642",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,377,377,57%,NA,Fall 2019,"$35,902",Registered Nursing/Registered Nurse,442602,02100612
Carrington College-Boise,"1122 N. Liberty St., Boise, Idaho 83704-8742",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Midsize,No,403,403,62%,NA,Fall 2019,NA,Registered Nursing/Registered Nurse,142054,02218000
Carrington College-Citrus Heights,"7310 A Greenback Lane A, Citrus Heights, California 95621-5577",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,34,34,46%,5%,Fall 2019,"$31,344",Medical/Clinical Assistant,450702,00974804
Carrington College-Las Vegas,"5740 S. Eastern Ave., Ste. 140, Las Vegas, Nevada 89119",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Midsize,No,323,323,47%,NA,Fall 2019,"$30,735",Medical/Clinical Assistant,457101,02100613
Carrington College-Mesa,"1001 West Southern Avenue, Mesa, Arizona 85210-5005",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,532,532,45%,4%,Fall 2019,"$38,260",Registered Nursing/Registered Nurse,103909,02100611
Carrington College-Ontario,"4580 Ontario Mills Parkway #200, Ontario, California 91764",https://carrington.edu/,"2-year, Private for-profit",Associate's degree,City: Midsize,No,40,40,19%,NA,Fall 2019,NA,Veterinary/Animal Health Technology/Technician and Veterinary Assistant,467368,00974811
Carrington College-Phoenix North,"2149 W Dunlap Avenue, Phoenix, Arizona 85051-4063",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,1048,1048,53%,NA,Fall 2019,"$26,788",Medical/Clinical Assistant,103893,02100600
Carrington College-Pleasant Hill Campus,"380 Civic Drive, Suite 300, Pleasant Hill, California 94523-1984",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,466,466,50%,1%,Fall 2019,"$30,285",Medical/Clinical Assistant,438258,00974802
Carrington College-Portland,"2004 Lloyd Center, 3rd Fl., Portland, Oregon 97232-1309",https://carrington.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,285,285,62%,NA,2019-20,"$28,662",Medical/Clinical Assistant,246035,03042500
Carrington College-Reno,"5580 Kietzke Ln., Reno, Nevada 89511",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,463,463,59%,1%,Fall 2019,"$46,716",Registered Nursing/Registered Nurse,457110,02218001
Carrington College-Sacramento,"8909 Folsom Blvd., Sacramento, California 95826",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,1837,1837,46%,NA,Fall 2019,"$36,979",Medical Insurance Specialist/Medical Biller,125532,00974800
Carrington College-San Jose,"5883 Rue Ferrari #125, San Jose, California 95138",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,669,669,54%,2%,Fall 2019,"$30,015",Medical/Clinical Assistant,437936,00974807
Carrington College-San Leandro Campus,"15555 East 14th Street, San Leandro, California 94578-3711",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,403,403,52%,NA,Fall 2019,"$32,003",Medical/Clinical Assistant,246974,00974801
Carrington College-Spokane,"10102 E. Knox Ave., Ste. 200, Spokane, Washington 99206-4187",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Midsize,No,298,298,61%,NA,Fall 2019,"$33,036",Medical/Clinical Assistant,439118,03042501
Carrington College-Stockton,"1313 West Robinhood Drive B, Stockton, California 95207-5509",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,412,412,45%,7%,Fall 2019,"$32,281",Medical/Clinical Assistant,450696,00974803
Carrington College-Tucson,"201 North Bonita Avenue, Tucson, Arizona 85745-2974",https://carrington.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,446,446,53%,3%,Fall 2019,"$28,000",Medical/Clinical Assistant,103927,02100607
Casal Aveda Institute,"5555 Youngstown Warren Rd Unit 606, Niles, Ohio 44446",www.casalaveda.com/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,112,112,56%,NA,Fall 2019,"$11,150","Cosmetology/Cosmetologist, General",203438,02560000
Casal Institute of Nevada,"4856 S Eastern Ave, Las Vegas, Nevada 89119",www.avedalasvegas.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,317,317,65%,NA,2019-20,"$14,273","Cosmetology/Cosmetologist, General",455211,04147600
Catherine Hinds Institute of Esthetics,"300 Wildwood Avenue, Woburn, Massachusetts 01801-6819",www.catherinehinds.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,186,186,94%,6%,2019-20,"$19,519",Aesthetician/Esthetician and Skin Care Specialist,165255,02220400
CBT Technology Institute-Cutler Bay,"19151 South Dixie Hwy # 205, Cutler Bay, Florida 33157",www.cbt.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,Suburb: Large,No,61,61,87%,NA,Fall 2019,"$17,963",-,456977,03071603
CBT Technology Institute-Hialeah,"935 West 49 Street # 203, Hialeah, Florida 33012",www.cbt.edu/,"2-year, Private for-profit",Less than one year certificate;Associate's degree,Suburb: Large,No,128,128,75%,11%,Fall 2019,"$11,589",-,449092,03071602
CBT Technology Institute-Main Campus,"8230 W Flagler St., Miami, Florida 33144",www.cbt.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,Suburb: Large,No,202,202,94%,NA,Fall 2019,"$12,750",-,449083,03071600
CCI Training Center,"10830 North Central Rxpressway suite 410, Dallas, Texas 75231",ccitraining.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,,,NA,NA,2019-20,NA,Computer and Information Systems Security/Auditing/Information Assurance,44977302,04089401
CCI Training Center-Arlington,"770 E. Road To Six Flags # 140, Arlington, Texas 76011",www.ccitraining.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,187,187,86%,NA,2019-20,"$13,898","Allied Health and Medical Assisting Services, Other",449773,04089400
CDA Technical Institute,"91 Trout River Drive, Jacksonville, Florida 32208",cda.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,Yes,,,NA,NA,2019-20,NA,"Diver, Professional and Instructor",447874,
CDE Career Institute,"2942 Route 611, Tannersville, Pennsylvania 18372",www.cde.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Small,No,281,281,52%,NA,2019-20,"$31,401","Health and Medical Administrative Services, Other",451495,04127500
Celebrity Barber School,"3220 Louisville Avenue, Monroe, Louisiana 71201-5133",www.celebritystylistbeautyschool.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,26,26,80%,NA,2019-20,"$15,865",Barbering/Barber,487621,01288001
Celebrity School of Beauty,"8478 SW 8th St, Miami, Florida 33144",www.celebrity.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,913,913,80%,NA,2019-20,"$3,828",Aesthetician/Esthetician and Skin Care Specialist,454917,04145900
Celebrity School of Beauty - Hialeah,"5090 West 12 Avenue, Hialeah, Florida 33012-3110",https://celebrity.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,,,NA,NA,2019-20,NA,Aesthetician/Esthetician and Skin Care Specialist,45491701,04145901
Celebrity Stylist Beauty School,"3138 Louisville Ave, Monroe, Louisiana 71201-5135",www.celebritystylistbeautyschool.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,37,37,80%,NA,2019-20,"$19,549","Cosmetology/Cosmetologist, General",160126,01288000
CEM College-Bayamon,"25 Degetau St, Bayamón, Puerto Rico 00961",www.cemcollege.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree,City: Midsize,No,92,92,48%,14%,Fall 2016,"$9,994",-,451741,02189103
CEM College-Humacao,"8 Dr Vidal St, Humacao, Puerto Rico 00791-4210",https://www.cemcollege.edu/cem/,"4-year, primarily associate's, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree,Suburb: Large,No,185,185,51%,5%,Fall 2016,"$7,979",-,376224,02189101
CEM College-San Juan,"1206 13th. Street Ext San Agustin, San Juan, Puerto Rico 00926-1931",www.cemcollege.edu/cem/,"4-year, primarily associate's, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree,City: Large,No,210,210,38%,7%,Fall 2016,"$10,213",-,241517,02189100
Center for Advanced Legal Studies,"800 W Sam Houston Parkway S, Suite 100, Houston, Texas 77042-1912",www.paralegal.edu/,"2-year, Private for-profit",Less than one year certificate;Associate's degree,City: Large,No,218,218,57%,NA,Fall 2019,"$11,923",Legal Assistant/Paralegal,379782,02604700
Center for Allied Health Education,"1401 Kings Highway, Brooklyn, New York 11229",https://www.cahe.edu/,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Large,No,393,393,100%,NA,Fall 2019,"$32,744",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,451413,01161700
Center for Massage,"16 Eagle Street, Suite 100, Asheville, North Carolina 28801",centerformassage.com/,"< 2-year, Private for-profit",Less than one year certificate,City: Small,No,49,49,76%,NA,2019-20,"$17,352",Massage Therapy/Therapeutic Massage,455910,04129400
Center for Neurosomatic Studies,"13923 Icot Boulevard, Suite814, Clearwater, Florida 33760",https://cns.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,16,16,NA,NA,2019-20,"$40,874",Massage Therapy/Therapeutic Massage,488226,04249400
Center for the Healing Arts,"8102 Town Center Boulevard, Voorhees, New Jersey 08043-1911",https://centerforthehealingartsnj.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,29,29,95%,NA,2019-20,"$14,873",Massage Therapy/Therapeutic Massage,481447,04216500
Center for Ultrasound Research & Education,"333 Westchester Avenue Suite 101 West, White Plains, New York 10604",www.cure.edu/,"2-year, Private for-profit",Two but less than 4 years certificate,City: Small,No,210,210,52%,NA,Fall 2019,"$52,354",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,486381,04234200
Central California School of Continuing Education,"3195 McMillan Ste F, San Luis Obispo, California 93401",ccsce.org/,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Small,No,82,82,87%,NA,Fall 2019,"$15,623",-,419183,03097700
Central California School of Continuing Education -,"139 North 5th Street, Coalinga, California 93210-1901",ccsce.org/,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,Town: Distant,No,,,NA,NA,Fall 2019,NA,-,41918301,03097702
Central Coast College,"111 E Navajo Drive, Suite 100, Salinas, California 93906",https://www.centralcoastcollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Midsize,No,446,446,84%,NA,Fall 2019,"$25,426",Medical/Clinical Assistant,378105,02602300
Central College of Cosmetology,"690 Missouri Avenue , Suite #3, Saint Robert, Missouri 65584",centralandsalemcolleges.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,45,45,47%,NA,2019-20,"$5,578","Cosmetology/Cosmetologist, General",417725,03070200
Central Oklahoma College,"14820 Serenita Avenue, Oklahoma City, Oklahoma 73134",centraloc.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Large,No,441,441,50%,3%,Fall 2019,"$18,871",Aesthetician/Esthetician and Skin Care Specialist,206932,02238500
Central Penn College,"600 Valley Road, Summerdale, Pennsylvania 17093-0309",https://www.centralpenn.edu/,"4-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,Suburb: Large,Yes,943,918,36%,2%,Fall 2016,"$13,803",-,211477,00489000
Central Pennsylvania Diesel Institute,"1718 Old Trail Road, Liverpool, Pennsylvania 17045-9201",www.cpdiesel.com/,"< 2-year, Private for-profit",Less than one year certificate,Rural: Fringe,No,12,12,93%,NA,2019-20,"$18,430",Medium/Heavy Vehicle and Truck Technology/Technician,493558,04271400
Central Texas Beauty College-Round Rock,"1400 N. Mays, Round Rock, Texas 78664-4604",www.centraltexasbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,106,106,62%,3%,2019-20,"$8,850","Cosmetology/Cosmetologist, General",246460,02239100
Central Texas Beauty College-Temple,"2010 South 57th Street, Temple, Texas 76504-6948",www.centraltexasbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,134,134,62%,NA,2019-20,"$8,979","Cosmetology/Cosmetologist, General",383464,02239101
Centralia Beauty College,"217 S Tower Avenue, Centralia, Washington 98531",www.centraliabeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Distant,No,80,80,11%,NA,2019-20,"$9,991","Cosmetology/Cosmetologist, General",491260,04274700
Centura College-Chesapeake,"932 B Ventures Way, Chesapeake, Virginia 23320",https://www.centuracollege.edu/campuses/chesapeake,"4-year, primarily associate's, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree,Suburb: Large,No,189,189,80%,NA,Fall 2016,"$28,384",-,420024,
Centura College-Newport News,"616 Denbigh Blvd., Newport News, Virginia 23608",https://www.centuracollege.edu/campuses/newport-news,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,209,209,72%,NA,2019-20,"$25,572",-,377449,02334402
Centura College-Norfolk,"7020 North Military Highway, Norfolk, Virginia 23518-4833",https://www.centuracollege.edu/campuses/norfolk,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Midsize,No,221,221,65%,NA,Fall 2019,"$27,379",-,377458,02334401
Centura College-Richmond Main,"7914 Midlothian Turnpike, North Chesterfield, Virginia 23235-5250",https://www.centuracollege.edu/campuses/richmond,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,149,149,63%,NA,2019-20,"$28,564",-,427982,02334406
Centura College-Virginia Beach,"2697 Dean Dr. Ste. 100, Virginia Beach, Virginia 23452-7431",https://www.centuracollege.edu/campuses/virginia-beach,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,109,109,62%,NA,Fall 2019,"$25,696",-,232016,02334400
Century College,"Calle Teniente Cesar Gonzalez #680, San Juan, Puerto Rico 00918",www.centurycollege.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,773,773,93%,NA,2019-20,"$4,730",-,436553,03336300
Chamberlain University-Arizona,"2149 W. Dunlap Avenue, Phoenix, Arizona 85021",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,818,818,0%,100%,Fall 2016,"$36,271",-,454245,00638503
Chamberlain University-California,"10971 Sun Center, Rancho Cordova, California 95670",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,City: Small,No,597,597,NA,NA,Fall 2016,"$38,046",-,489353,00638520
Chamberlain University-Florida,"5200 Belfort Road, Suite 100, Jacksonville, Florida 32256",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,918,918,NA,NA,Fall 2016,"$33,717",-,457129,00638504
Chamberlain University-Georgia,"1100 Altmore Avenue, Sandy Springs, Georgia 30342",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,City: Midsize,No,1421,1421,100%,NA,Fall 2016,"$31,380",-,475732,00638511
Chamberlain University-Illinois,"1221 N. Swift Road, Addison, Illinois 60101",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - professional practice,Suburb: Large,No,26687,11661,38%,50%,Fall 2016,"$26,362",-,454227,00638500
Chamberlain University-Indiana,"9100 Keystone Crossing, Suite 300, Indianapolis, Indiana 46240",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,202,202,100%,NA,Fall 2016,"$31,732",-,475741,00638510
Chamberlain University-Louisiana,"400 Labarre Road, Jefferson, Louisiana 70121",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,Suburb: Large,No,365,365,NA,NA,Fall 2016,"$31,349",-,492759,00638521
Chamberlain University-Michigan,"200 Kirts Boulevard, Suite C, Troy, Michigan 48084",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,City: Small,No,637,637,100%,NA,Fall 2016,"$35,711",-,486947,00638516
Chamberlain University-Missouri,"11830 Westline Industrial Drive, Suite 106, St. Louis, Missouri 63146",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,Suburb: Large,No,375,375,25%,50%,Fall 2016,"$33,215",-,466921,00638507
Chamberlain University-Nevada,"9901 Covington Cross Drive, Las Vegas, Nevada 89144",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,567,567,33%,33%,Fall 2016,"$35,771",-,486938,00638515
Chamberlain University-New Jersey,"630 U.S. Highway One, North Brunswick, New Jersey 08902",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,Suburb: Large,No,1261,1261,0%,100%,Fall 2016,"$29,222",-,486956,00638517
Chamberlain University-North Carolina,"2015 Ayrsley Town Boulevard, Suite 204, Charlotte, North Carolina 28273",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,268,268,100%,NA,Fall 2016,"$33,562",-,489344,00638519
Chamberlain University-Ohio,"4111 Worth Avenue, Columbus, Ohio 43219",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,537,537,11%,67%,Fall 2016,"$32,150",-,454236,00638501
Chamberlain University-Texas,"11025 Equity Drive, Houston, Texas 77041",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,2167,2167,75%,NA,Fall 2016,"$31,032",-,466930,00638508
Chamberlain University-Virginia,"1951 Kidwell Drive, Vienna, Virginia 22182",https://www.chamberlain.edu/,"4-year, Private for-profit",Bachelor's degree,Suburb: Large,No,663,663,100%,NA,Fall 2016,"$31,676",-,460871,00638506
Champion Beauty College,"3920 FM 1960 West #210, Houston, Texas 77068",championbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,22,22,66%,NA,2019-20,"$16,968","Cosmetology/Cosmetologist, General",449782,04117900
Champ's Barber School,"54 West King Street, Lancaster, Pennsylvania 17602-3809",champsbarberschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,46,46,65%,NA,2019-20,"$17,942",Barbering/Barber,483753,04215500
Chancellor Institute,"5648 West Atlantic Boulevard, Margate, Florida 33063-4567",https://ichancellor.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,74,74,NA,NA,Fall 2019,NA,Licensed Practical/Vocational Nurse Training,498340,04296600
Charles and Sues School of Hair Design,"1711 Briarcrest Dr, Bryan, Texas 77802",www.charlesandsues.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Small,No,22,22,85%,NA,2019-20,"$18,207","Cosmetology/Cosmetologist, General",223852,01293000
Charles of Italy Beauty College,"1987 McCulloch Blvd, Suite 205, Lake Havasu City, Arizona 86403",www.charlesofitaly.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,85,85,74%,NA,2019-20,"$11,932","Cosmetology/Cosmetologist, General",104391,02280500
Charles Stuart School of Diamond Setting,"1420 Kings Hwy 2nd Fl, Brooklyn, New York 11229",charlesstuartschool.com./,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,54,54,0%,NA,2019-20,"$38,655",Locksmithing and Safe Repair,418171,03096200
